Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Lyme,377067717,5.24,11.4,2.5,1.49,20.63,7778907001,354174300,6.84,1.76,2.04,16.02,26.66,9391071
Lyndeborough,194175724,6.24,13.81,2.38,1.17,23.6,4582547106,212076187,7.35,1.04,1.57,11.38,21.34,4485678
Madbury,272109602,3.05,16.34,2.36,2.43,24.18,6579610193,296284068,4.72,2.4,1.84,16.29,25.25,7414324
Madison,535122150,4.04,8.37,2.43,0.99,15.83,8470983634,587259733,3.54,1.16,1.93,8.67,15.3,9510265
Manchester,9590732190,11.62,6.72,2.46,1.16,21.96,210612478892,9175091539,11.48,1.29,2.36,9.53,24.66,224271285
Marlborough,213698241,3.9,15.61,2.5,3.42,25.43,5434346291,176275527,5.3,4.24,2.1,19.83,31.47,5488550
Marlow,75456788,6.45,12.87,2.47,3.31,25.1,1893965402,73886807,6.51,3.61,1.74,17.85,29.71,2175581
Martin's Location,42843,-4.34,0.0,0.0,4.34,0.0,0,271400,-3.93,3.93,0.0,0.0,0.0,0
Mason,188033041,7.72,13.0,2.5,1.11,24.33,4574843891,159128292,9.72,1.17,2.21,13.91,27.01,4248910
Meredith,2159144500,4.16,4.87,2.3,1.32,12.65,27313177931,2302685480,4.29,1.15,1.88,6.7,14.02,31960770
Merrimack,3267352540,5.24,14.53,2.51,1.15,23.43,76554070024,3547578102,5.06,1.17,2.14,15.69,24.06,84309995
Middleton,214043715,5.02,9.74,2.3,2.4,19.46,4165290713,186747102,9.09,2.59,1.89,14.7,28.27,5273694
Milan,144923661,2.64,8.65,2.26,4.04,17.59,2549207198,150649388,2.74,4.08,1.61,11.65,20.08,2979569
Milford,1487861067,5.91,15.12,2.53,1.17,24.73,36794804197,1656349157,5.78,1.09,1.93,16.57,25.37,41720254
Millsfield,7518843,-5.81,-1.24,2.64,4.41,0.0,0,8394563,-43.02,49.47,2.07,-1.84,6.68,55965
Milton,425100184,6.07,12.4,2.72,2.83,24.02,10210906430,494887213,4.63,2.49,1.89,13.15,22.16,10756022
Monroe,418177289,1.76,5.65,2.31,0.83,10.55,4411770407,449492087,1.7,1.73,1.9,6.65,11.98,4679487
Mont Vernon,299209376,5.16,18.03,2.3,1.11,26.6,7958969420,317254014,4.74,1.01,1.93,18.9,26.58,8380664
Moultonborough,3211070892,2.77,1.97,2.53,1.06,8.33,26748220531,3574129240,2.11,1.15,1.78,2.09,7.13,25245702
Nashua,9942295616,8.3,9.16,2.38,1.13,20.97,208489939075,10335998453,9.1,1.16,2.08,10.27,22.61,231335273
Nelson,137250773,5.1,9.63,2.42,3.4,20.55,2820503385,125807368,6.39,3.69,1.98,6.81,18.87,2362641
New Boston,622572943,5.73,14.16,2.45,1.17,23.51,14636689903,683500314,5.42,1.11,2.02,15.54,24.09,16286229
New Castle,744906159,2.4,0.69,2.33,0.97,6.39,4759950357,734925493,2.53,0.91,1.93,0.93,6.3,4602986
New Durham,487317659,6.88,10.55,2.33,2.64,22.4,10915915570,594581948,4.69,2.2,1.58,8.41,16.88,10023319
New Hampton,397885636,5.11,8.47,2.21,1.28,17.07,6791907823,338396262,6.36,1.21,1.94,8.44,17.95,5941658
New Ipswich,486659284,3.55,13.38,2.33,1.0,20.26,9859717094,483823011,4.7,1.02,1.78,13.75,21.25,10025523
New London,1263235399,5.86,5.73,2.49,2.98,17.06,21550795922,1265204773,4.3,2.56,1.92,6.16,14.94,19076889
Newbury,811092663,3.76,5.65,2.46,2.81,14.68,11906840304,761645361,4.12,2.94,2.13,7.33,16.52,12507470
Newfields,299845701,4.71,14.17,2.35,0.95,22.18,6650577650,301311757,3.65,0.81,1.9,14.88,21.24,6360544
Newington,1121487777,5.0,0.51,2.4,1.04,8.95,10037315608,1024017380,6.31,0.88,1.87,0.83,9.89,9285438
Newmarket,871932650,7.03,14.87,2.37,1.04,25.31,22068615395,981517373,6.01,0.91,2.04,16.5,25.46,24826170
Newport,585145760,9.23,11.44,2.1,2.6,25.37,14845147955,438170012,12.12,2.8,2.05,16.13,33.1,14352787
Newton,545965871,3.46,17.43,2.23,1.0,24.12,13168696820,642718153,3.09,0.81,1.8,15.2,20.9,13306487
North Hampton,1177561944,4.8,7.93,2.35,1.03,16.11,18970522917,1195317972,5.21,0.9,2.11,8.69,16.91,20047413
Northfield,409353118,5.27,9.81,2.2,2.37,19.65,8043788772,342545279,7.11,2.87,2.11,10.68,22.77,8525964
Northumberland,154964776,9.43,10.69,2.28,3.76,26.16,4053878555,129889131,14.7,4.78,1.92,11.61,33.01,4327267
Northwood,549733129,4.28,16.77,2.53,1.03,24.61,13528932327,684256811,4.23,0.75,1.64,11.15,17.77,12103630
Nottingham,627978831,4.12,12.58,2.49,1.05,20.24,12710291549,796347443,3.35,0.8,1.7,12.91,18.76,14630534
Odell,2551697,-4.17,-3.12,3.12,4.17,0.0,0,2260555,-2.59,6.13,2.41,-2.41,3.54,8002
Orange,33607106,2.0,14.85,2.62,1.5,20.97,704741031,36344314,3.38,1.55,1.85,18.03,24.81,897699
Orford,171588018,4.93,16.82,2.75,1.41,25.91,4445845557,154257148,5.5,1.71,2.02,16.9,26.13,3983232
Ossipee,826896890,5.21,7.11,2.53,0.94,15.79,13056701899,776494715,5.98,1.19,1.97,7.91,17.05,14512508
Pelham,1610733458,6.38,11.37,2.5,1.16,21.41,34485803354,2003772810,5.78,1.03,1.94,11.45,20.2,40066167
Pembroke,717363047,5.79,15.62,2.45,2.58,26.44,18967078981,770768044,5.49,2.49,1.83,14.79,24.6,18753642
Penacook,0,8.72,0.0,2.56,2.9,26.75,0,0,9.32,2.44,1.8,16.37,29.93,0
