Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Bradford,299346866.90999997,7.27,10.38,2.51,2.74,22.9,6855043252.238998,249477480,8.9,2.49,1.67,10.8,23.86,5899803
Brentwood,659344804.56,3.16,16.52,2.33,1.0,23.01,15171523952.9256,708407990,3.88,0.83,1.83,16.65,23.19,16262210
Bridgewater,456711696.09,2.87,2.9,2.53,1.55,9.85,4498610206.4865,449193300,3.0,1.57,1.84,1.97,8.38,3825881
Bristol,642718492.65,6.88,9.36,2.38,1.55,20.17,12963631996.7505,557750184,8.1,1.7,1.87,9.02,20.69,11388075
Brookfield,142231443.12,3.89,8.38,2.47,0.99,15.73,2237300600.2776003,126812883,5.3,1.08,1.93,8.87,17.18,2157360
Brookline,804112330.3199999,4.06,16.99,2.09,0.94,24.08,19363024914.1056,670989733,5.77,1.06,1.87,19.1,27.8,18509861
Cambridge,11387566.709999999,-4.41,-2.34,2.36,4.39,0.0,0.0,9219051,-4.98,4.94,1.93,-1.89,0.0,-328
Campton,555364342.26,5.03,10.15,2.31,1.5,18.99,10546368859.517399,439337540,5.86,1.66,2.0,14.75,24.27,11703154
Canaan,439763403.69,6.26,12.84,2.59,1.65,23.34,10264077842.1246,347549588,7.51,1.96,2.02,22.91,34.4,11898029
Candia,554057469.81,4.66,11.29,2.49,0.94,19.38,10737633764.917799,511799514,4.45,0.88,1.99,12.72,20.04,10169846
Canterbury,331687297.89,6.76,12.85,2.65,3.07,25.33,8401639255.5536995,263889938,8.07,3.01,2.21,14.3,27.59,7197828
Carroll,545931701.64,2.8,4.77,2.08,3.9,13.55,7397374557.222,337211396,6.02,5.0,2.14,8.09,21.25,7127948
Center Harbor,648376309.62,3.89,3.64,2.23,1.2,10.96,7106204353.435201,437782421,5.94,1.33,2.13,5.93,15.33,6661552
Chandler's Purchase,67283.19,-4.48,-2.24,2.33,4.39,0.0,0.0,44150,-5.03,4.71,1.97,-1.65,0.0,-14
Charlestown,370064314.62,6.69,15.25,2.47,3.12,27.53,10187870581.4886,280396567,10.71,3.05,2.14,22.75,38.65,10653235
Chatham,70678047.96,-0.31,9.89,2.55,1.07,13.2,932950233.0719999,60624358,0.97,1.14,1.79,9.52,13.42,794177
Chester,622633349.52,5.77,15.02,2.78,1.09,24.66,15354138399.1632,724599790,7.02,0.89,1.9,10.72,20.53,14547419
Chesterfield,768619025.4599999,3.42,8.39,2.22,3.3,17.33,13320167711.221798,525382807,5.13,4.15,1.96,11.37,22.61,12345531
Chichester,405310934.34,3.65,11.22,2.1,2.33,19.3,7822501032.762,322781804,5.56,2.63,1.91,13.08,23.18,7399658
Claremont,1066622847.03,12.36,15.46,2.45,2.91,33.18,35390546064.4554,750284384,15.17,2.7,1.92,20.93,40.72,30169489
Clarksville,55912708.8,-5.21,7.44,2.29,4.73,9.25,517192556.4,46860972,3.64,5.05,2.09,5.48,16.26,751306
Colebrook,260169454.35,6.93,8.7,2.11,3.96,21.7,5645677159.3949995,186958181,11.6,4.48,1.79,9.91,27.78,5298482
Columbia,116634559.86,1.78,8.22,2.57,3.97,16.54,1929135620.0844,92049091,2.28,5.15,1.95,6.69,16.07,1419244
Concord,5047139119.23,8.72,10.39,2.59,2.9,24.6,124159622333.058,4632801359,9.32,2.44,1.87,13.13,26.76,124727581
Conway,1901989720.8,4.91,8.7,2.54,1.05,17.2,32714223197.76,1750988000,4.63,1.2,1.95,8.54,16.32,31210908
Cornish,254634762.32999998,2.59,11.65,2.22,2.88,19.34,4924636303.462199,197023472,3.94,2.61,1.88,12.86,21.29,4144024
Crawford's Purchase,222386.58,-2.97,-3.77,2.33,4.41,0.0,0.0,235430,-4.99,4.95,1.93,-1.89,0.0,-12
Croydon,128976948.36,2.41,5.09,2.45,3.0,12.95,1670251481.2619998,112835862,4.15,2.27,1.64,5.9,13.96,1558920
Cutt's Grant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
Dalton,127796134.05,4.54,7.63,2.42,3.99,18.58,2374452170.6489997,83475269,3.96,5.57,2.13,12.47,24.13,1961304
Danbury,148978966.5,5.1,14.39,2.88,3.09,25.46,3793004487.09,111722635,7.37,3.0,2.06,11.57,24.0,2646519
Danville,447183865.44,5.26,18.88,2.65,1.05,27.84,12449598813.8496,417218397,5.08,0.98,2.16,18.08,26.3,10772808
Deerfield,731880078.93,3.77,14.48,2.26,0.94,21.45,15698827693.048498,746052291,3.86,0.82,1.71,13.28,19.67,14319387
Deering,271901184.75,7.61,15.02,2.43,1.1,26.16,7112934993.06,239002940,6.8,0.96,1.75,15.3,24.81,5855698
Derry,3403082789.73,9.52,14.22,2.49,1.04,27.27,92802067675.9371,3555437130,7.15,0.86,1.88,14.45,24.34,85908484
Dix Grant,1267718.4,-4.4,-2.65,2.65,4.4,0.0,0.0,1000284,-4.91,4.91,1.9,-1.9,0.0,0
Dixville,22848562.619999997,-0.84,-2.87,2.36,4.39,3.04,69459630.36479999,8448784,-9.95,16.53,1.83,-1.81,6.6,55527
Dorchester,55991362.05,8.07,8.85,2.24,1.44,20.6,1153422058.23,44932083,7.55,1.63,1.76,9.92,20.86,927850
Dover,3549019174.74,9.54,10.26,2.5,2.82,25.12,89151361669.4688,3814134750,9.19,2.51,1.93,11.22,24.85,93714678
Dublin,351298000.16999996,5.71,11.23,2.32,3.28,22.54,7918256923.831799,273686586,5.81,3.5,1.92,13.4,24.63,6665686
Dummer,75301410.6,3.7,9.39,2.32,3.7,19.11,1439009956.5659997,99118420,4.81,3.95,1.73,5.84,16.33,1499458
